city,year,weekofyear,week_start_date,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,station_avg_temp_c
sj,1990,18,30-04-1990,0.1226,0.103725,0.1984833,0.1776167,12.42,297.5728571,297.7428571,292.4142857,32,73.36571429,25.44285714
sj,1990,19,07-05-1990,0.1699,0.142175,0.1623571,0.1554857,22.82,298.2114286,298.4428571,293.9514286,17.94,77.36857143,26.71428571
sj,1990,20,14-05-1990,0.03225,0.1729667,0.1572,0.1708429,34.54,298.7814286,298.8785714,295.4342857,26.1,82.05285714,26.71428571
sj,1990,21,21-05-1990,0.1286333,0.2450667,0.2275571,0.2358857,15.36,298.9871429,299.2285714,295.31,13.9,80.33714286,27.47142857
sj,1990,22,28-05-1990,0.1962,0.2622,0.2512,0.24734,7.52,299.5185714,299.6642857,295.8214286,12.2,80.46,28.94285714
sj,1990,23,04-06-1990,,0.17485,0.2543143,0.1817429,9.58,299.63,299.7642857,295.8514286,26.49,79.89142857,28.11428571
sj,1990,24,11-06-1990,0.1129,0.0928,0.2050714,0.2102714,3.48,299.2071429,299.2214286,295.8657143,38.6,82,27.41428571
sj,1990,25,18-06-1990,0.0725,0.0725,0.1514714,0.1330286,151.12,299.5914286,299.5285714,296.5314286,30,83.37571429,28.37142857
sj,1990,26,25-06-1990,0.10245,0.146175,0.1255714,0.1236,19.32,299.5785714,299.5571429,296.3785714,37.51,82.76857143,28.32857143
sj,1990,27,02-07-1990,,0.12155,0.1606833,0.2025667,14.41,300.1542857,300.2785714,296.6514286,28.4,81.28142857,28.32857143
sj,1990,28,09-07-1990,0.192875,0.08235,0.1919429,0.1529286,22.27,299.5128571,299.5928571,296.0414286,43.72,81.46714286,27.55714286
sj,1990,29,16-07-1990,0.2916,0.2118,0.3012,0.2806667,59.17,299.6671429,299.75,296.3342857,40.9,82.14428571,28.12857143
sj,1990,30,23-07-1990,0.1505667,0.1717,0.2269,0.2145571,16.48,299.5585714,299.6357143,295.96,42.53,80.74285714,28.11428571
sj,1990,31,30-07-1990,,0.24715,0.3797,0.3813571,32.66,299.8628571,299.95,296.1728571,34.6,80.58428571,28.24285714
sj,1990,32,06-08-1990,,0.06433333,0.1644429,0.1388571,28.8,300.3914286,300.4785714,296.5328571,20,79.65,28.2
sj,1990,33,13-08-1990,,0.1280333,0.2069571,0.1682429,90.75,299.9585714,299.9571429,297.0357143,101.9,84.17857143,28.04285714
sj,1990,34,20-08-1990,0.1902333,0.1688,0.1676571,0.1722857,32.4,300.3328571,300.4142857,296.7285714,25.9,80.94714286,28.34285714
sj,1990,35,27-08-1990,0.2529,0.33075,0.2641714,0.2843143,40.94,300.1185714,300.2214286,297.0171429,39.8,83.34857143,28.65714286
